Platform,SPN,User Display Name,Display Types,TIME,Event,Config,Dependency,Access Level (Wintrac),Unit of Measurement,Event log when alarm code(s) set,Event Log When Parameter Changes?,Auto Log at Power ON?,Auto Log at Noon (12:05 PM)?,Additional Reqs,Documentation Notes
DEET,0x0001,Software Major Version,Header,False,0.0,1.0,,Technician,,,,,,,
Nebula-Galaxy,0x0001,Software Major Version,Header,False,0.0,1.0,,Technician,,,,0.0,0.0,,
Railblazer,0x0001,Software Major Version,Header,FALSE ,0.0,1.0,No Dependency,Technician,,,,,,,
DEET,0x0002,Software Minor Version,Header,False,0.0,1.0,,Technician,,,,,,,
Nebula-Galaxy,0x0002,Software Minor Version,Header,False,0.0,1.0,,Technician,,,,0.0,0.0,,
Railblazer,0x0002,Software Minor Version,Header,FALSE ,0.0,1.0,No Dependency,Technician,,,,,,,
Nebula-Galaxy,0x0003,Software Release Number,Header,False,0.0,1.0,,Technician,,,,0.0,0.0,,
DEET,0x0003,Software Release Number,Header,False,0.0,1.0,,Technician,,,,,,,
Railblazer,0x0003,Software Release Number,Header,FALSE ,0.0,1.0,No Dependency,Technician,,,,,,,
DEET,0x0004,Software Build Number,Header,False,0.0,1.0,,Technician,,,,,,,
Nebula-Galaxy,0x0004,Software Build Number,Header,False,0.0,1.0,,Technician,,,,0.0,0.0,,
Railblazer,0x0004,Software Build Number,Header,FALSE ,0.0,1.0,No Dependency,Technician,,,,,,,
Railblazer,0x002D,ECU Engine RPM,Graph and Table,TRUE,0.0,0.0,Engine = ECO GOV,Technician,,"33, 48, 616",,,,,"P.Carr 21st July 23: since RB does not support alarm code 7, removed alarm code 7 from event log alarms list"
AMT,0x002D,ECU Engine RPM,Graph and Table,True,0.0,0.0,Engine = ECO GOV,Technician,Frequencies (RPM),"7, 33, 48, 86, 87, 616",False,0.0,0.0,,
DEET,0x002D,ECU Engine RPM,Graph and Table,True,0.0,0.0,Engine = ECO GOV OR Platform = DEET,Technician,,102:672; 102:55,,,,,
