Platform,SPN,User Display Name,Display Types,TIME,Event,Config,Dependency,Access Level (Wintrac),Unit of Measurement,Event log when alarm code(s) set,Event Log When Parameter Changes?,Auto Log at Power ON?,Auto Log at Noon (12:05 PM)?,Additional Reqs,Documentation Notes,Access Level (WinTrac)
Railblazer,0x0001,Software Major Version,Header,FALSE ,0,1,No Dependency,Technician,,,FALSE,FALSE,FALSE,,,
"DEET, Nebula-Galaxy",0x0001,Software Major Version,Header,FALSE,0,1,No Dependency,Technician,,,FALSE,FALSE,FALSE,,,
Railblazer,0x0002,Software Minor Version,Header,FALSE ,0,1,No Dependency,Technician,,,FALSE,FALSE,FALSE,,,
"DEET, Nebula-Galaxy",0x0002,Software Minor Version,Header,FALSE,0,1,No Dependency,Technician,,,FALSE,FALSE,FALSE,,,
Railblazer,0x0003,Software Release Number,Header,FALSE ,0,1,No Dependency,Technician,,,FALSE,FALSE,FALSE,,,
"DEET, Nebula-Galaxy",0x0003,Software Release Number,Header,FALSE,0,1,No Dependency,Technician,,,FALSE,FALSE,FALSE,,,
Railblazer,0x0004,Software Build Number,Header,FALSE ,0,1,No Dependency,Technician,,,FALSE,FALSE,FALSE,,,
"DEET, Nebula-Galaxy",0x0004,Software Build Number,Header,FALSE,0,1,No Dependency,Technician,,,FALSE,FALSE,FALSE,,,
Navigator,0x002D,ECU Engine RPM,Graph and Table,TRUE,0,0,Engine = ECO GOV,,,"7, 33, 48, 616",FALSE,FALSE,FALSE,,,Technician
Railblazer,0x002D,ECU Engine RPM,Graph and Table,TRUE,0,0,Engine = ECO GOV,Technician,,"33, 48, 616",FALSE,FALSE,FALSE,,"P.Carr 21st July 23: since RB does not support alarm code 7, removed alarm code 7 from event log alarms list",
AMT,0x002D,ECU Engine RPM,Graph and Table,TRUE,0,0,Engine = ECO GOV,Technician,Frequencies (RPM),"7, 33, 48, 86, 87, 616",FALSE,FALSE,FALSE,,,
DEET,0x002D,ECU Engine RPM,Graph and Table,TRUE,0,0,Engine = ECO GOV OR Platform = DEET,Technician,,102:672; 102:55,FALSE,FALSE,FALSE,,,
AMT,0x002E,Engine Speed Request,Graph (stepped) and Table (continuous columns),TRUE,0,0,Engine = ECO GOV,Technician,Frequencies (RPM),"33, 616",FALSE,FALSE,FALSE,,"P.Carr 1st Sept 2022 - updated SPN from 0x0181 (not applicable for AMT) to 0x002E (engine speed command)

P.Carr 4th Jan 24 - adding dependency to ensure parameter is not logged for ELENA MT unit models ",
DEET,0x002E,Engine Speed Command,Table Only,TRUE,0,0,No Dependency,Technician,,,FALSE,FALSE,FALSE,,,
Railblazer,0x002E,Engine Speed Command,Graph (stepped) and Table (continuous columns),TRUE,0,0,No Dependency,Technician,,33,FALSE,FALSE,FALSE,,P.Carr 25th July - reviewed with RB team and agreed to make this timed log with graphical stepped view. ,
Navigator,0x0030,Electric Motor RPM,Graph and Table,TRUE,0,0,No Dependency,,,"7, 33, 48, 56, 57, 58, 59, 264, 265, 267, 268, 273, 274, 275, 276, 277, 278, 526, 555",FALSE,FALSE,FALSE,,,Technician
AMT,0x0030,Electric Motor RPM,Graph and Table,TRUE,0,0,No Dependency,Technician,Frequencies (RPM),"7, 33, 36, 48, 56, 57, 58, 59, 86, 87, 264, 265, 267, 268, 273, 274, 275, 276, 277, 278, 526, 555",FALSE,FALSE,FALSE,,,
Railblazer,0x0030,Electric Motor RPM,Graph and Table,TRUE,0,0,No Dependency,Technician,,"33, 48, 56, 57, 58, 59, 264, 265, 267, 268, 273, 274, 275, 276, 277, 278, 526, 555",FALSE,FALSE,FALSE,,"P.Carr 21st July 23: since RB does not support alarm code 7, removed alarm code 7 from event log alarms list",
Nebula-Galaxy,0x0036,Hot Gas Bypass Valve,Table Only,FALSE,1,0,No Dependency,Technician,,45,FALSE,FALSE,FALSE,,,
Nebula-Galaxy,0x0037,Liquid Line Solenoid Zone 2,Table Only,FALSE,1,0,No Dependency,Technician,,67,FALSE,FALSE,FALSE,,,
Nebula-Galaxy,0x0039,Liquid Line Solenoid Zone 1,Table Only,FALSE,1,0,No Dependency,Technician,,67,FALSE,FALSE,FALSE,,,
DEET,0x0042,Safety Spare Output,Table Only,TRUE,0,0,No Dependency,User,,2:10; 42:10; 13:26; 42:93; 42:95; 42:99; 42:236,FALSE,FALSE,FALSE,Need to rename SPN to Compressor Enable,,
Nebula-Galaxy,0x0044,Combo Device On/Off Switch,Table Only,FALSE,1,0,No Dependency,Technician,,265,FALSE,FALSE,FALSE,ComboTrm15,,
Nebula-Galaxy,0x0047,Combo Device 12V DC Supply Voltage,Table and Graph,TRUE,0,0,No Dependency,Technician,Voltage (V),265,FALSE,FALSE,FALSE,ComboTrm30,,
AMT,0x004A,Engine Preheat Output,Table Only,FALSE,1,0,No Dependency,Technician,,15,TRUE,FALSE,FALSE,,Helpful for diagnosing fail to crank issues. ,
Navigator,0x004A,Engine Preheat,Table Only,FALSE,1,0,Engine Type = ECO or Mechanical ,,,,TRUE,FALSE,FALSE,Log event: when engine preheat status changes.,"Helpful for diagnosing fail to crank issues. Will allow for determination of preheat time length

DB - 16th Jan2023 - Updated dependancy column from ""No Dependancy"" to ""Engine Type = ECO or Mechanical"" for PL3 & ELENA",Technician
"DEET, Railblazer",0x004A,Engine Preheat,Table Only,FALSE,1,0,No Dependency,Technician,,,TRUE,FALSE,FALSE,Log event: when engine preheat status changes.,Helpful for diagnosing fail to crank issues. Will allow for determination of preheat time length,
AMT,0x004B,Engine Starter Solenoid Output,Table Only,FALSE,1,0,No Dependency,Technician,,,TRUE,FALSE,FALSE,,,
